ds,y
5/23/2013,767.99
5/24/2013,437.09
5/25/2013,385.24
5/26/2013,336.8
5/27/2013,353.61
5/28/2013,430.18
5/29/2013,621.83
5/30/2013,838.32
5/31/2013,911.07
6/1/2013,897.53
6/2/2013,850.85
6/3/2013,843.96
6/4/2013,422
6/5/2013,554.7
6/6/2013,535.55
6/7/2013,367.34
6/8/2013,335.56
6/9/2013,495.54
6/10/2013,713.2
6/11/2013,720.31
6/12/2013,662.23
6/13/2013,449.86
6/14/2013,361.12
6/15/2013,515.51
6/16/2013,646.2
6/17/2013,751.31
6/18/2013,741.38
6/19/2013,439.69
6/20/2013,615.36
6/21/2013,529.45
6/22/2013,643.55
6/23/2013,641.35
6/24/2013,862.29
6/25/2013,875.55
6/26/2013,816.2
6/27/2013,841.52
6/28/2013,859.22
6/29/2013,757.6
6/30/2013,763.66
7/1/2013,855.52
7/2/2013,908.99
7/3/2013,907.16
7/4/2013,900.44
7/5/2013,913.82
7/6/2013,912.1
7/7/2013,873.03
7/8/2013,908.59
7/9/2013,937.72
7/10/2013,871.95
7/11/2013,648
7/12/2013,544.48
7/13/2013,513.47
7/14/2013,528.03
7/15/2013,656.58
7/16/2013,677.83
7/17/2013,691.35
7/18/2013,722.01
7/19/2013,722.49
7/20/2013,661.88
7/21/2013,609.01
7/22/2013,676.95
7/23/2013,706.98
7/24/2013,663.29
7/25/2013,583.77
7/26/2013,538.01
7/27/2013,530.25
7/28/2013,497.59
7/29/2013,640.21
7/30/2013,595.27
7/31/2013,725.76
8/1/2013,854.56
8/2/2013,822.04
8/3/2013,733.75
8/4/2013,537.66
8/5/2013,613.01
8/6/2013,750.38
8/7/2013,922.86
8/8/2013,991.34
8/9/2013,1034.06
8/10/2013,872.7
8/11/2013,791.17
8/12/2013,937.78
8/13/2013,806.14
8/14/2013,514.68
8/15/2013,539.25
8/16/2013,566.44
8/17/2013,459.75
8/18/2013,491.42
8/19/2013,619.34
8/20/2013,680.75
8/21/2013,685.34
8/22/2013,682.38
8/23/2013,625.92
8/24/2013,499.65
8/25/2013,498.16
8/26/2013,636.98
8/27/2013,690.9
8/28/2013,693.29
8/29/2013,691.95
8/30/2013,615.84
8/31/2013,565.84
9/1/2013,600.36
9/2/2013,621.86
9/3/2013,667.59
9/4/2013,544.02
9/5/2013,543.35
9/6/2013,463.41
9/7/2013,399.66
9/8/2013,456.29
9/9/2013,466.22
9/10/2013,650.06
9/11/2013,723.03
9/12/2013,719.13
9/13/2013,583.47
9/14/2013,392.14
9/15/2013,364.92
9/16/2013,466.57
9/17/2013,482.19
9/18/2013,474.16
9/19/2013,473.27
9/20/2013,545.12
9/21/2013,466.71
9/22/2013,388.61
9/23/2013,466.99
9/24/2013,480.78
9/25/2013,471.34
9/26/2013,471.95
9/27/2013,467.98
9/28/2013,406.48
9/29/2013,375.95
9/30/2013,469.71
10/1/2013,571.79
10/2/2013,629.42
10/3/2013,615.11
10/4/2013,560.72
10/5/2013,526.77
10/6/2013,362.41
10/7/2013,570.99
10/8/2013,482.37
10/9/2013,474.02
10/10/2013,474.91
10/11/2013,471.33
10/12/2013,402.55
10/13/2013,375.57
10/14/2013,402.61
10/15/2013,472.38
10/16/2013,475.27
10/17/2013,473.68
10/18/2013,469.15
10/19/2013,404.97
10/20/2013,366.37
10/21/2013,462.08
10/22/2013,481.19
10/23/2013,473
10/24/2013,474.26
10/25/2013,
10/26/2013,
10/27/2013,
10/28/2013,
10/29/2013,
10/30/2013,
10/31/2013,
11/1/2013,
11/2/2013,
11/3/2013,
11/4/2013,
11/5/2013,
11/6/2013,
11/7/2013,
11/8/2013,
11/9/2013,
11/10/2013,
11/11/2013,
11/12/2013,
11/13/2013,
11/14/2013,
11/15/2013,
11/16/2013,
11/17/2013,
11/18/2013,
11/19/2013,
11/20/2013,
11/21/2013,
11/22/2013,
11/23/2013,
11/24/2013,
11/25/2013,
11/26/2013,471.82
11/27/2013,452.38
11/28/2013,393
11/29/2013,443.17
11/30/2013,394.48
12/1/2013,357.83
12/2/2013,450.69
12/3/2013,463.41
12/4/2013,457.38
12/5/2013,466.22
12/6/2013,476.77
12/7/2013,405.42
12/8/2013,368.65
12/9/2013,466.1
